Content ID,Reaction Type,Datetime,Category,Content Type,Reaction Score,All Categories,Total Reaction Score,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,8/4/2020 23:58,Studying,photo,70,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,8/28/2020 3:57,Studying,photo,75,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,8/25/2020 8:21,Studying,photo,45,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,4/20/2021 23:48,Studying,photo,15,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,3/7/2021 12:40,Studying,photo,30,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,5/24/2021 3:21,Studying,photo,20,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,1/24/2021 11:03,Studying,photo,75,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,4/9/2021 2:46,Studying,photo,0,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2/2/2021 3:43,Studying,photo,75,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2/4/2021 3:06,Studying,photo,30,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,11/9/2020 2:49,Studying,photo,10,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,9/29/2020 16:00,Studying,photo,15,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,11/29/2020 21:33,Studying,photo,10,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,want,2/13/2021 7:54,Studying,photo,70,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,7/14/2020 5:28,Studying,photo,30,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,8/23/2020 10:30,Studying,photo,20,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,5/10/2021 9:27,Studying,photo,12,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,3/15/2021 3:59,Studying,photo,5,,,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,6/25/2020 17:01,healthy eating,photo,10,,,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued,9/13/2020 0:11,healthy eating,photo,45,,,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,8/20/2020 18:17,healthy eating,photo,35,,,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,scared,2/11/2021 4:53,healthy eating,photo,15,,,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,3/8/2021 10:40,healthy eating,photo,5,,,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,3/28/2021 21:15,healthy eating,photo,0,,,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,5/25/2021 1:00,healthy eating,photo,5,,,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,3/15/2021 12:17,healthy eating,photo,50,,,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,5/5/2021 16:26,healthy eating,photo,65,,,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,8/31/2020 0:21,healthy eating,photo,65,,,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart,6/16/2021 3:02,healthy eating,photo,60,,,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,indifferent,7/7/2020 10:52,healthy eating,photo,20,,,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,8/20/2020 7:59,healthy eating,photo,35,,,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,9/23/2020 11:15,healthy eating,photo,65,,,,,,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,3/24/2021 5:56,healthy eating,photo,50,,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,12/7/2020 19:13,healthy eating,photo,5,,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,8/3/2020 16:41,healthy eating,photo,75,,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,1/10/2021 15:36,healthy eating,photo,72,,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,9/20/2020 8:48,healthy eating,photo,15,,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,cherish,7/20/2020 14:06,healthy eating,photo,70,,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,10/24/2020 12:15,healthy eating,photo,72,,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,6/6/2021 1:27,healthy eating,photo,30,,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,12/25/2020 0:09,healthy eating,photo,60,,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,like,6/14/2021 7:56,healthy eating,photo,50,,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,like,6/5/2021 18:00,healthy eating,photo,50,,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,11/18/2020 23:37,healthy eating,photo,5,,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,5/9/2021 2:42,healthy eating,photo,30,,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,5/11/2021 8:38,healthy eating,photo,10,,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,peeking,11/12/2020 8:00,healthy eating,photo,35,,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,6/21/2020 16:57,healthy eating,photo,60,,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,3/4/2021 23:58,healthy eating,photo,75,,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,want,7/9/2020 16:47,healthy eating,photo,70,,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,8/1/2020 19:16,healthy eating,photo,5,,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,11/23/2020 22:46,healthy eating,photo,10,,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,12/11/2020 14:08,healthy eating,photo,15,,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,4/23/2021 23:41,healthy eating,photo,10,,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,want,11/13/2020 0:33,healthy eating,photo,70,,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,6/9/2021 10:13,healthy eating,photo,30,,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,love,10/29/2020 19:41,healthy eating,photo,65,,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,5/14/2021 12:47,healthy eating,photo,60,,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,disgust,8/4/2020 5:40,healthy eating,photo,0,,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,8/7/2020 4:09,healthy eating,photo,72,,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,10/23/2020 21:19,healthy eating,photo,72,,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,11/14/2020 23:53,healthy eating,photo,72,,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,worried,8/4/2020 19:26,healthy eating,photo,12,,,,,,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,11/12/2020 4:54,healthy eating,photo,30,,,,,,,,,
356fff80-da4d-4785-9f43-bc1261031dc6,worried,4/3/2021 12:17,technology,photo,12,,,,,,,,,
356fff80-da4d-4785-9f43-bc1261031dc6,want,9/27/2020 22:15,technology,photo,70,,,,,,,,,
356fff80-da4d-4785-9f43-bc1261031dc6,heart,10/27/2020 5:45,technology,photo,60,,,,,,,,,
356fff80-da4d-4785-9f43-bc1261031dc6,scared,10/15/2020 9:11,technology,photo,15,,,,,,,,,
356fff80-da4d-4785-9f43-bc1261031dc6,heart,5/7/2021 9:16,technology,photo,60,,,,,,,,,
356fff80-da4d-4785-9f43-bc1261031dc6,hate,9/16/2020 8:39,technology,photo,5,,,,,,,,,
356fff80-da4d-4785-9f43-bc1261031dc6,indifferent,10/29/2020 15:38,technology,photo,20,,,,,,,,,
01ab84dd-6364-4236-abbb-3f237db77180,scared,5/24/2021 18:03,food,video,15,,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,2/25/2021 20:02,cooking,GIF,30,,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,hate,5/2/2021 3:45,cooking,GIF,5,,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,want,1/28/2021 8:49,cooking,GIF,70,,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,2/15/2021 13:06,cooking,GIF,35,,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,11/4/2020 21:25,cooking,GIF,10,,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,love,6/23/2020 22:12,cooking,GIF,65,,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,2/16/2021 4:01,cooking,GIF,70,,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,1/3/2021 8:44,cooking,GIF,30,,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,11/25/2020 12:45,cooking,GIF,72,,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,12/3/2020 16:47,cooking,GIF,50,,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,5/22/2021 21:03,cooking,GIF,50,,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,1/18/2021 13:39,cooking,GIF,70,,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,indifferent,1/6/2021 0:35,cooking,GIF,20,,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,5/14/2021 14:33,cooking,GIF,72,,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,worried,5/27/2021 15:21,cooking,GIF,12,,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,7/21/2020 2:12,cooking,GIF,35,,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,5/26/2021 6:09,cooking,GIF,10,,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,2/25/2021 3:16,cooking,GIF,10,,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,intrigued,12/7/2020 22:50,cooking,GIF,45,,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,indifferent,10/24/2020 14:06,cooking,GIF,20,,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,9/1/2020 21:18,cooking,GIF,35,,,,,,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,5/10/2021 22:07,cooking,GIF,72,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,2/12/2021 16:37,dogs,video,70,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,heart,4/28/2021 15:22,dogs,video,60,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,1/24/2021 0:38,dogs,video,45,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,worried,3/18/2021 1:53,dogs,video,12,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,1/14/2021 7:21,dogs,video,0,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,heart,12/23/2020 4:11,dogs,video,60,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,hate,5/21/2021 7:23,dogs,video,5,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,like,3/28/2021 23:25,dogs,video,50,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,peeking,9/16/2020 7:33,dogs,video,35,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,indifferent,11/8/2020 10:53,dogs,video,20,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,heart,3/6/2021 5:23,dogs,video,60,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,1/13/2021 23:35,dogs,video,0,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,want,9/6/2020 22:35,dogs,video,70,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,interested,6/24/2020 9:31,dogs,video,30,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,hate,2/7/2021 21:39,dogs,video,5,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,1/21/2021 18:28,dogs,video,45,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,dislike,2/27/2021 0:21,dogs,video,10,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,worried,8/22/2020 12:06,dogs,video,12,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,8/3/2020 6:29,dogs,video,70,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,scared,8/2/2020 6:20,dogs,video,15,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,want,6/4/2021 4:57,dogs,video,70,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,super love,10/21/2020 9:07,dogs,video,75,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,dislike,12/26/2020 19:46,dogs,video,10,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,scared,3/2/2021 22:47,dogs,video,15,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,indifferent,3/31/2021 9:48,dogs,video,20,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,interested,6/14/2021 13:44,dogs,video,30,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,scared,12/27/2020 17:04,dogs,video,15,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,scared,2/11/2021 3:51,dogs,video,15,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,interested,12/7/2020 19:07,dogs,video,30,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,interested,12/28/2020 8:31,dogs,video,30,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,interested,10/26/2020 5:27,dogs,video,30,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,worried,9/26/2020 18:43,dogs,video,12,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,scared,11/25/2020 13:01,dogs,video,15,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,heart,7/11/2020 5:51,dogs,video,60,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,heart,3/19/2021 16:23,dogs,video,60,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,interested,10/11/2020 18:31,dogs,video,30,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,heart,11/2/2020 20:15,dogs,video,60,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,want,10/1/2020 3:35,dogs,video,70,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,2/11/2021 20:10,dogs,video,0,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,want,2/7/2021 15:59,dogs,video,70,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,hate,10/17/2020 11:46,dogs,video,5,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,like,8/9/2020 19:41,dogs,video,50,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,love,2/1/2021 2:40,dogs,video,65,,,,,,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,adore,1/30/2021 9:36,dogs,video,72,,,,,,,,,
e5490118-90d5-4572-ab1c-1fbc87b8d9ca,want,3/31/2021 15:24,technology,video,70,,,,,,,,,
e5490118-90d5-4572-ab1c-1fbc87b8d9ca,super love,2/5/2021 17:00,technology,video,75,,,,,,,,,
e5490118-90d5-4572-ab1c-1fbc87b8d9ca,heart,2/19/2021 16:29,technology,video,60,,,,,,,,,
e5490118-90d5-4572-ab1c-1fbc87b8d9ca,worried,7/25/2020 0:00,technology,video,12,,,,,,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,adore,7/13/2020 2:38,soccer,photo,72,,,,,,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,indifferent,1/13/2021 13:11,soccer,photo,20,,,,,,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,worried,1/2/2021 16:46,soccer,photo,12,,,,,,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,intrigued,11/26/2020 2:25,soccer,photo,45,,,,,,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,want,8/25/2020 19:18,soccer,photo,70,,,,,,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,hate,2/1/2021 0:15,soccer,photo,5,,,,,,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,love,6/4/2021 14:36,soccer,photo,65,,,,,,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,adore,8/19/2020 13:38,soccer,photo,72,,,,,,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,cherish,4/22/2021 2:08,soccer,photo,70,,,,,,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,super love,6/26/2020 10:33,soccer,photo,75,,,,,,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,like,8/15/2020 18:16,soccer,photo,50,,,,,,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,love,11/26/2020 13:42,soccer,photo,65,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,want,4/14/2021 0:56,public speaking,photo,70,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,indifferent,7/21/2020 21:27,public speaking,photo,20,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,dislike,3/29/2021 6:57,public speaking,photo,10,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,want,5/20/2021 16:11,public speaking,photo,70,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,like,11/2/2020 6:09,public speaking,photo,50,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,indifferent,10/24/2020 15:37,public speaking,photo,20,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,9/7/2020 14:42,public speaking,photo,60,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,3/4/2021 2:46,public speaking,photo,15,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,1/7/2021 14:08,public speaking,photo,72,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,peeking,7/6/2020 11:18,public speaking,photo,35,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,like,3/27/2021 4:56,public speaking,photo,50,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,11/21/2020 21:25,public speaking,photo,45,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,cherish,8/22/2020 1:25,public speaking,photo,70,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,peeking,6/14/2021 11:45,public speaking,photo,35,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,worried,7/15/2020 19:28,public speaking,photo,12,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,3/21/2021 14:39,public speaking,photo,45,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,super love,4/7/2021 3:15,public speaking,photo,75,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,cherish,4/24/2021 6:56,public speaking,photo,70,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,9/30/2020 14:05,public speaking,photo,60,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,7/19/2020 19:28,public speaking,photo,60,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,1/21/2021 7:08,public speaking,photo,15,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,1/31/2021 13:48,public speaking,photo,15,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,hate,12/24/2020 3:24,public speaking,photo,5,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,5/27/2021 1:44,public speaking,photo,0,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,2/13/2021 4:14,public speaking,photo,0,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,7/14/2020 4:36,public speaking,photo,72,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,dislike,7/15/2020 16:03,public speaking,photo,10,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,like,10/8/2020 17:23,public speaking,photo,50,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,11/12/2020 23:55,public speaking,photo,60,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,want,2/21/2021 5:01,public speaking,photo,70,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,7/9/2020 8:58,public speaking,photo,45,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,6/26/2020 23:45,public speaking,photo,72,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,worried,11/20/2020 13:18,public speaking,photo,12,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,like,5/29/2021 21:34,public speaking,photo,50,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,indifferent,2/22/2021 2:48,public speaking,photo,20,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,1/7/2021 18:39,public speaking,photo,15,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,10/1/2020 15:10,public speaking,photo,72,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,hate,11/21/2020 8:24,public speaking,photo,5,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,4/15/2021 13:50,public speaking,photo,15,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,love,6/30/2020 1:14,public speaking,photo,65,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,want,12/1/2020 15:06,public speaking,photo,70,,,,,,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,11/7/2020 0:47,public speaking,photo,15,,,,,,,,,
5118e9c5-1377-4cc5-a486-65b35b7b7b76,super love,6/30/2020 13:08,science,GIF,75,,,,,,,,,
5118e9c5-1377-4cc5-a486-65b35b7b7b76,heart,8/4/2020 3:09,science,GIF,60,,,,,,,,,
5118e9c5-1377-4cc5-a486-65b35b7b7b76,intrigued,7/28/2020 7:01,science,GIF,45,,,,,,,,,
5118e9c5-1377-4cc5-a486-65b35b7b7b76,super love,10/25/2020 2:39,science,GIF,75,,,,,,,,,
5118e9c5-1377-4cc5-a486-65b35b7b7b76,worried,7/5/2020 3:37,science,GIF,12,,,,,,,,,
5118e9c5-1377-4cc5-a486-65b35b7b7b76,cherish,4/28/2021 15:16,science,GIF,70,,,,,,,,,
5118e9c5-1377-4cc5-a486-65b35b7b7b76,indifferent,1/31/2021 0:54,science,GIF,20,,,,,,,,,
